Hour,Date,Room,Room_Capacity,Module,Registered_Students,ID
10,2015-11-06,B004,220,MATH10200,96.0,102015-11-06B004
11,2015-11-06,B004,220,COMP30070,84.0,112015-11-06B004
12,2015-11-06,B004,220,Vacant,Vacant,122015-11-06B004
13,2015-11-06,B004,220,COMP20110,103.0,132015-11-06B004
14,2015-11-06,B004,220,COMP10110,113.0,142015-11-06B004
15,2015-11-06,B004,220,COMP30220,38.0,152015-11-06B004
16,2015-11-06,B004,220,Vacant,Vacant,162015-11-06B004
17,2015-11-06,B004,220,Vacant,Vacant,172015-11-06B004
9,2015-11-09,B004,220,COMP30010,79,92015-11-09B004
10,2015-11-09,B004,220,IS40640,49,102015-11-09B004
11,2015-11-09,B004,220,IS40640,49,112015-11-09B004
12,2015-11-09,B004,220,COMP20020,98,122015-11-09B004
13,2015-11-09,B004,220,Booked by School of CS (no other data available),,132015-11-09B004
14,2015-11-09,B004,220,SCI30060,66,142015-11-09B004
15,2015-11-09,B004,220,COMP41110,19,152015-11-09B004
16,2015-11-09,B004,220,Vacant,Vacant,162015-11-09B004
17,2015-11-09,B004,220,Vacant,Vacant,172015-11-09B004
9,2015-11-10,B004,220,COMP41450 & COMP30120,143.0,92015-11-10B004
10,2015-11-10,B004,220,COMP10130,112.0,102015-11-10B004
11,2015-11-10,B004,220,COMP20070,107.0,112015-11-10B004
12,2015-11-10,B004,220,COMP30080,139.0,122015-11-10B004
13,2015-11-10,B004,220,COMP20110,103.0,132015-11-10B004
14,2015-11-10,B004,220,STAT40150,0.0,142015-11-10B004
15,2015-11-10,B004,220,COMP20010,108.0,152015-11-10B004
16,2015-11-10,B004,220,Vacant,Vacant,162015-11-10B004
17,2015-11-10,B004,220,Vacant,Vacant,172015-11-10B004
9,2015-11-11,B004,220,COMP30010,79.0,92015-11-11B004
10,2015-11-11,B004,220,Vacant,Vacant,102015-11-11B004
11,2015-11-11,B004,220,COMP20020,98.0,112015-11-11B004
12,2015-11-11,B004,220,COMP20130,74.0,122015-11-11B004
13,2015-11-11,B004,220,Vacant,Vacant,132015-11-11B004
14,2015-11-11,B004,220,Vacant,Vacant,142015-11-11B004
15,2015-11-11,B004,220,COMP30070,84.0,152015-11-11B004
16,2015-11-11,B004,220,Vacant,Vacant,162015-11-11B004
17,2015-11-11,B004,220,Vacant,Vacant,172015-11-11B004
9,2015-11-12,B004,220,COMP41450 & COMP30120,143.0,92015-11-12B004
10,2015-11-12,B004,220,MATH10130,56.0,102015-11-12B004
11,2015-11-12,B004,220,COMP30080,139.0,112015-11-12B004
12,2015-11-12,B004,220,COMP20070,107.0,122015-11-12B004
13,2015-11-12,B004,220,COMP10110,113.0,132015-11-12B004
14,2015-11-12,B004,220,ENVB30110,83.0,142015-11-12B004
15,2015-11-12,B004,220,Vacant,Vacant,152015-11-12B004
16,2015-11-12,B004,220,COMP20010,108.0,162015-11-12B004
17,2015-11-12,B004,220,Vacant,Vacant,172015-11-12B004
9,2015-11-13,B004,220,Vacant,Vacant,92015-11-13B004
10,2015-11-13,B004,220,MATH10200,96.0,102015-11-13B004
11,2015-11-13,B004,220,COMP30070,84.0,112015-11-13B004
12,2015-11-13,B004,220,Vacant,Vacant,122015-11-13B004
13,2015-11-13,B004,220,COMP20110,103.0,132015-11-13B004
14,2015-11-13,B004,220,COMP10110,113.0,142015-11-13B004
15,2015-11-13,B004,220,COMP30220,38.0,152015-11-13B004
16,2015-11-13,B004,220,Vacant,Vacant,162015-11-13B004
17,2015-11-13,B004,220,Vacant,Vacant,172015-11-13B004
