Room_Capacity,Module,Registered_Students,Hour,Date,Room,Occupancy,Avg_Count_60min,Avg_Count_30min,Avg_Adj_Count_60min,Avg_Adj_Count_30min
90,COMP40370,27.0,16,2015-11-10,B002,0.25,34.083333333333336,35.166666666666664,0.3787037037037037,0.3907407407407408
90,COMP30190,29.0,9,2015-11-11,B002,0.25,11.363636363636363,12.833333333333334,0.12626262626262627,0.14259259259259258
90,COMP40660,53.0,10,2015-11-11,B002,0.0,11.333333333333334,10.4,0.1259259259259259,0.11555555555555555
90,COMP30250,22.0,11,2015-11-11,B002,0.25,10.909090909090908,10.666666666666666,0.12121212121212123,0.11851851851851851
90,COMP41690 (Practical),60.0,12,2015-11-11,B002,0.25,37.083333333333336,41.166666666666664,0.41203703703703703,0.45740740740740743
90,COMP41690 (Lecture),60.0,13,2015-11-11,B002,0.25,18.8,18.0,0.2088888888888889,0.19999999999999998
90,COMP30220,38.0,14,2015-11-11,B002,0.0,16.416666666666668,16.2,0.18240740740740738,0.18
90,COMP30520 & COMP41110,79.0,15,2015-11-11,B002,0.25,27.833333333333332,30.8,0.30925925925925934,0.3422222222222222
90,COMP30250,22.0,16,2015-11-11,B002,0.25,25.083333333333332,23.5,0.2787037037037037,0.26111111111111107
90,Vacant,-1.0,9,2015-11-12,B002,0.0,5.818181818181818,4.0,0.06464646464646463,0.044444444444444446
90,COMP30110,45.0,10,2015-11-12,B002,0.25,28.833333333333332,27.0,0.32037037037037036,0.3
90,COMP40370,27.0,11,2015-11-12,B002,0.25,30.833333333333332,29.0,0.3425925925925926,0.3222222222222222
90,COMP30260,18.0,12,2015-11-12,B002,0.25,14.909090909090908,13.833333333333334,0.16565656565656567,0.1537037037037037
90,COMP47290,0.0,13,2015-11-12,B002,0.0,8.0,6.166666666666667,0.08888888888888886,0.06851851851851852
90,COMP30240,42.0,14,2015-11-12,B002,0.5,28.583333333333332,28.6,0.31759259259259265,0.31777777777777777
90,COMP30520,60.0,15,2015-11-12,B002,0.25,59.583333333333336,64.83333333333333,0.6620370370370371,0.7203703703703703
90,COMP30520,60.0,16,2015-11-12,B002,0.25,50.166666666666664,49.833333333333336,0.5574074074074075,0.5537037037037037
90,COMP30220,38.0,9,2015-11-13,B002,0.0,6.75,6.5,0.075,0.07222222222222223
90,Vacant,-1.0,10,2015-11-13,B002,0.0,9.0,7.0,0.1,0.07777777777777779
90,COMP30190,29.0,11,2015-11-13,B002,0.0,12.363636363636363,11.0,0.13737373737373737,0.12222222222222222
90,COMP30190,29.0,12,2015-11-13,B002,0.0,15.416666666666666,15.2,0.1712962962962963,0.1688888888888889
90,COMP30170,51.0,13,2015-11-13,B002,0.0,13.083333333333334,13.8,0.14537037037037034,0.15333333333333332
90,COMP30240,42.0,14,2015-11-13,B002,0.25,17.666666666666668,17.833333333333332,0.1962962962962963,0.19814814814814816
90,Vacant,-1.0,15,2015-11-13,B002,0.25,15.083333333333334,15.0,0.16759259259259263,0.16666666666666666
90,Vacant,-1.0,16,2015-11-13,B002,0.25,8.25,8.666666666666666,0.09166666666666667,0.09629629629629628
90,Vacant,-1.0,9,2015-11-03,B003,0.0,2.5833333333333335,1.8333333333333333,0.028703703703703703,0.020370370370370372
90,Vacant,-1.0,10,2015-11-03,B003,0.75,7.363636363636363,6.333333333333333,0.0818181818181818,0.07037037037037037
90,COMP10280,56.0,11,2015-11-03,B003,0.75,52.09090909090909,65.0,0.5787878787878789,0.7222222222222222
90,Vacant,-1.0,12,2015-11-03,B003,0.25,19.333333333333332,16.8,0.21481481481481488,0.18666666666666668
90,Career opportunities talks,0.0,13,2015-11-03,B003,0.0,12.0,10.166666666666666,0.13333333333333333,0.11296296296296293
90,Vacant,-1.0,14,2015-11-03,B003,0.5,31.363636363636363,31.666666666666668,0.34848484848484856,0.35185185185185186
90,Vacant,-1.0,15,2015-11-03,B003,0.25,21.272727272727273,19.2,0.23636363636363633,0.21333333333333332
90,Vacant,-1.0,16,2015-11-03,B003,0.0,9.583333333333334,9.0,0.1064814814814815,0.1
90,COMP47300 (Lecture),0.0,9,2015-11-04,B003,0.0,2.090909090909091,2.4,0.023232323232323236,0.026666666666666665
90,COMP47300 (Practical),0.0,10,2015-11-04,B003,0.25,14.166666666666666,15.166666666666666,0.1574074074074074,0.1685185185185185
90,COMP47300 (Practical),0.0,11,2015-11-04,B003,0.0,17.727272727272727,17.5,0.196969696969697,0.19444444444444445
90,COMP30080,73.0,12,2015-11-04,B003,0.75,79.9090909090909,92.75,0.8878787878787878,1.0305555555555554
90,COMP30080,73.0,13,2015-11-04,B003,0.75,89.5,88.16666666666667,0.9944444444444445,0.9796296296296297
90,COMP47300,0.0,14,2015-11-04,B003,0.0,22.75,14.166666666666666,0.2527777777777778,0.1574074074074074
90,COMP47300,0.0,15,2015-11-04,B003,0.0,13.636363636363637,14.166666666666666,0.1515151515151515,0.1574074074074074
90,Vacant,-1.0,16,2015-11-04,B003,0.0,7.454545454545454,6.0,0.08282828282828282,0.06666666666666667
90,COMP30060,42.0,9,2015-11-05,B003,0.0,15.666666666666666,13.333333333333334,0.17407407407407408,0.1481481481481481
90,Vacant,-1.0,10,2015-11-05,B003,0.25,31.90909090909091,31.666666666666668,0.35454545454545455,0.35185185185185186
90,Vacant,-1.0,11,2015-11-05,B003,0.25,19.4,18.333333333333332,0.21555555555555556,0.20370370370370372
90,COMP10280,56.0,12,2015-11-05,B003,0.5,46.416666666666664,46.2,0.5157407407407407,0.5133333333333333
90,Career opportunities talks,0.0,13,2015-11-05,B003,0.25,30.333333333333332,33.833333333333336,0.337037037037037,0.37592592592592594
90,COMP47300,0.0,14,2015-11-05,B003,0.25,17.454545454545453,15.0,0.19393939393939397,0.16666666666666666
90,COMP47290,0.0,15,2015-11-05,B003,0.0,8.166666666666666,8.666666666666666,0.09074074074074073,0.09629629629629628
90,COMP47290,0.0,16,2015-11-05,B003,0.0,9.25,9.2,0.10277777777777776,0.10222222222222221
90,COMP20020,45.0,9,2015-11-06,B003,0.25,25.666666666666668,27.4,0.28518518518518515,0.30444444444444446
90,COMP20020,45.0,10,2015-11-06,B003,0.75,46.0,46.666666666666664,0.5111111111111111,0.5185185185185185
90,COMP47290,0.0,11,2015-11-06,B003,0.25,25.083333333333332,23.666666666666668,0.2787037037037037,0.26296296296296295
90,COMP47290,0.0,12,2015-11-06,B003,0.25,24.75,25.5,0.27499999999999997,0.28333333333333327
90,Vacant,-1.0,13,2015-11-06,B003,0.0,17.5,15.8,0.19444444444444445,0.17555555555555555
90,COMP30080,65.0,14,2015-11-06,B003,0.75,51.916666666666664,56.333333333333336,0.576851851851852,0.6259259259259259
90,COMP30080,65.0,15,2015-11-06,B003,0.75,47.333333333333336,49.8,0.525925925925926,0.5533333333333333
90,Vacant,-1.0,16,2015-11-06,B003,0.5,14.583333333333334,13.833333333333334,0.16203703703703706,0.1537037037037037
90,COMP20020,53.0,9,2015-11-09,B003,0.5,28.0,30.0,0.31111111111111106,0.3333333333333333
90,COMP20020,53.0,10,2015-11-09,B003,0.25,36.0,38.75,0.4000000000000001,0.4305555555555556
90,COMP30010,45.0,11,2015-11-09,B003,0.5,36.54545454545455,36.4,0.40606060606060607,0.40444444444444444
90,COMP30010,45.0,12,2015-11-09,B003,0.5,47.5,49.166666666666664,0.5277777777777778,0.5462962962962963
90,Vacant,-1.0,13,2015-11-09,B003,0.25,28.0,29.5,0.3111111111111111,0.3277777777777778
90,COMP30010,33.0,14,2015-11-09,B003,0.25,33.916666666666664,34.4,0.3768518518518518,0.3822222222222222
90,COMP30010,33.0,15,2015-11-09,B003,0.25,27.166666666666668,27.2,0.3018518518518518,0.3022222222222222
90,COMP30060,35.0,16,2015-11-09,B003,0.25,12.5,13.333333333333334,0.13888888888888887,0.14814814814814814
90,Vacant,-1.0,9,2015-11-10,B003,0.0,2.727272727272727,2.5,0.0303030303030303,0.027777777777777776
90,Vacant,-1.0,10,2015-11-10,B003,0.0,12.916666666666666,12.8,0.14351851851851852,0.14222222222222222
90,COMP10280,56.0,11,2015-11-10,B003,0.5,57.083333333333336,60.0,0.6342592592592594,0.6666666666666666
90,Vacant,-1.0,12,2015-11-10,B003,0.5,27.0,26.833333333333332,0.3,0.2981481481481481
90,Career opportunities talks,0.0,13,2015-11-10,B003,0.25,9.727272727272727,8.833333333333334,0.1080808080808081,0.09814814814814814
90,Vacant,-1.0,14,2015-11-10,B003,0.25,24.545454545454547,23.5,0.2727272727272727,0.26111111111111107
90,Vacant,-1.0,15,2015-11-10,B003,0.25,15.916666666666666,16.0,0.17685185185185184,0.17777777777777776
90,Vacant,-1.0,16,2015-11-10,B003,0.0,4.25,4.333333333333333,0.04722222222222222,0.048148148148148155
90,COMP47300 (Lecture),0.0,9,2015-11-11,B003,0.0,1.5454545454545454,1.0,0.01717171717171717,0.011111111111111112
90,COMP47300 (Practical),0.0,10,2015-11-11,B003,0.0,7.666666666666667,9.4,0.08518518518518518,0.10444444444444445
90,COMP47300 (Practical),0.0,11,2015-11-11,B003,0.75,18.272727272727273,13.833333333333334,0.20303030303030303,0.1537037037037037
90,COMP30080,73.0,12,2015-11-11,B003,0.75,81.5,92.0,0.9055555555555554,1.0222222222222221
90,COMP30080,73.0,13,2015-11-11,B003,0.75,88.6,89.5,0.9844444444444443,0.9944444444444445
90,COMP47300,0.0,14,2015-11-11,B003,0.5,41.166666666666664,38.2,0.45740740740740743,0.42444444444444446
90,COMP47300,0.0,15,2015-11-11,B003,0.25,4.416666666666667,2.4,0.04907407407407407,0.026666666666666665
90,Vacant,-1.0,16,2015-11-11,B003,0.5,19.0,21.5,0.2111111111111111,0.2388888888888889
90,COMP30060,42.0,9,2015-11-12,B003,0.0,6.363636363636363,6.0,0.0707070707070707,0.06666666666666667
90,Vacant,-1.0,10,2015-11-12,B003,0.0,5.166666666666667,4.6,0.0574074074074074,0.05111111111111111
90,Vacant,-1.0,11,2015-11-12,B003,0.25,7.833333333333333,9.166666666666666,0.08703703703703704,0.10185185185185186
90,COMP10280,56.0,12,2015-11-12,B003,0.25,65.36363636363636,68.66666666666667,0.7262626262626263,0.762962962962963
90,Career opportunities talks,0.0,13,2015-11-12,B003,0.0,25.083333333333332,13.666666666666666,0.2787037037037037,0.15185185185185185
90,COMP47300,0.0,14,2015-11-12,B003,0.25,19.333333333333332,18.8,0.2148148148148148,0.2088888888888889
90,COMP47290,0.0,15,2015-11-12,B003,0.25,13.0,13.166666666666666,0.14444444444444446,0.14629629629629629
